サークル名,内容,配置,おしながき・告知,参加者
＃SMH,アイプラ×カードキャプターさくら合同,星07,https://x.com/macaroooooon22/status/1937635473054400767,えびちり@kawaii_suzunyan もちぼっと@dynam_xox ふーぎ@fugi_IP 7770P@7Yuk0 ブライアン@56nQCMe7yOP5q3u うろたすたろう@starrow_urota だりん@darin_22kan 園田まー@sono_maa27 えぬ@enu_illustip ふくだ福太郎@fypopon どすこい文太郎@skks140 めかうなぎ@Mechaunagi やまき@ymkmk2 れいん@_iamReiN さなぎねこ@sanaginagisa_00 びーつき@b_tsuki_ まかろん@macaroooooon22
東原家,イラスト合同誌,星23,https://x.com/makino_imasenno/status/1932059174059528594,嫉妬@makino_imasenno しーどーなっつ@Mei_donuts ぽんずみそ@xCuteNa あまの@kokoro_omo エミナマうどん@mqsLe_143,
サンタは本当にいるの？,月ストCP小説合同,見11,https://x.com/ruri_tacoske/status/1934153249470525724,頑駄無大将@High_Freedom_GD 古鉄@PTX_003C おもち@omt_IPR シルエット@SILHOUETTEGTR だいビッグ@suzubell_daibig 猫野ルマ@ruma_rui トミーサム@ploy_Thumb 生姜味噌@Syo_gaMiso 瑠璃(♂)@ruri_tacoske あかしあ@070_acacia
東京十七番街,月ストCP合同抽選漏れ合同,見21,https://x.com/17_1pan7th/status/1938243927720837524,あめ@shirerain123 あかしあ@070_acacia ★現世幽★@kakuri_utushiyo いちなな@17_1pan7th おもち@omt_IPR タゴニストマスクス@tagonist11 瑠璃(♂)@ruri_tacoske
すずフェス運営委員,すずイラスト合同,市09,https://x.com/romostuyoshi/status/1938181371945750898,綾野優@U_KAyano 野良犬 えぬ@enu_illustip たき@takiki_0w0 みとた取締役@mitota80 まかろん@macaroooooon22 オホ@ooho0216 えびちり@kawaii_suzunyan 成宮光線@narumiya_suzu 【協】ロモツヨシ@romostuyoshi
StarryMiracle,「デートスタイル」合同,市10,https://x.com/st_michan/status/1937217488812671386,ふくだ福太郎@fypopon ばわ@Thankyousushi すぎさき@kairo07_3396 信@S858585858 やまき@ymkmk2 びーつき@b_tsuki_ うらかた@urakata_illust 如月こず@kisaragi_su_mo 園田まー@sono_maa27 ぷらむ@archplum 々(まる)@__scgg__ noMOMok@noMOMok_2
こーとわこーとしー,星見麻雀合同,市18,https://x.com/kairo07_3396/status/1936597122205491702,えびちり@kawaii_suzunyan ぐらしあ@g_c14_ さんじょ@ryotohmi すぎさき@kairo07_3396 だりん@darin_22kan 華畑茶素@Hana_mrrn ひさMC@hisamcharuko13 びーつき@b_tsuki_ ブライアン@56nQCMe7yOP5q3u やまき@ymkmk2
